UPRN,ESTAB_UPRN,ADDRESS_TYPE,ESTAB_TYPE,ADDRESS_LEVEL,ABP_CODE,ORGANISATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,TOWN_NAME,POSTCODE,LATITUDE,LONGITUDE,OA,LSOA,MSOA,LAD,REGION,HTC_WILLINGNESS,HTC_DIGITAL,TREATMENT_CODE,FIELDCOORDINATOR_ID,FIELDOFFICER_ID,CE_EXPECTED_CAPACITY,CE_SECURE,PRINT_BATCH
123456789123,62749662480,HH,Household,U,RD06,,Flat 56 Francombe House,Commercial Road,Tree area,Windleybury,XX1 0XX,51.4463421,-2.5924477,E00073438,E01014540,E02003043,E06000023,E12000009,1,5,HH_LFNR1E,,,5,0,58
123456789124,63261341375,HH,Household,U,RD06,,First And Second Floor Flat,39 Cranbrook Road,Bin area,Windleybury,XX1 0XX,51.4721166,-2.5970579,E00074083,E01014669,E02003031,E06000023,E12000009,2,4,HH_LFNR2E,,,10,0,58
123456789125,33216497619,HH,Household,U,RD06,,Flat 2,60 Coronation Road,Phone area,Windleybury,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,E12000009,3,3,HH_LFNR3AE,,,15,0,58
123456789126,86814985604,HH,Household,U,RD04,,14 Blackhorse Road,Commercial Road,Trowl area,Windleybury,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,E12000009,4,2,HH_LF2R1E,,,20,0,58
123456789127,44017635283,HH,Household,U,RD06,,18 Marshfield Park Cleeve Wood Road,39 Cranbrook Road,,Windleybury,XX11 0XX,51.4958465,-2.513198,E00075275,E01014897,E02003111,E06000025,E12000009,5,1,HH_LF2R2E,,,25,0,58
123456789128,18784859755,HH,Household,U,RD06,,Flat 56 Francombe House,60 Coronation Road,,Windleybury,XX1 0XX,51.4463421,-2.5924477,E00073438,E01014540,E02003043,E06000023,E12000009,1,5,HH_LF2R3AE,,,30,0,58
123456789129,78008153757,HH,Household,U,RD06,,First And Second Floor Flat,Commercial Road,,Windleybury,XX1 0XX,51.4721166,-2.5970579,E00074083,E01014669,E02003031,E06000023,E12000009,2,4,HH_LF2R3BE,,,35,0,58
123456789130,28768020040,HH,Household,U,RD06,,Flat 2,39 Cranbrook Road,,Windleybury,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,E12000009,3,3,HH_LF3R1E,,,40,0,58
123456789131,87501720833,HH,Household,U,RD04,,14 Blackhorse Road,60 Coronation Road,,Windleybury,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,E12000009,4,2,HH_LF3R2E,,,45,0,58
123456789132,10219566970,HH,Household,U,RD06,,18 Marshfield Park Cleeve Wood Road,39 Cranbrook Road,,Windleybury,XX11 0XX,51.4958465,-2.513198,E00075275,E01014897,E02003111,E06000025,E12000009,5,1,HH_LF3R3AE,,,50,0,58
123456789133,14855221259,HH,Household,U,RD06,,Flat 2,60 Coronation Road,,Windleybury,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,E12000009,1,5,HH_LF3R3BE,,,55,0,58
123456789134,91302003777,HH,Household,U,RD06,,Flat 56 Francombe House,,,Tafftown,XX1 0XX,51.4463421,-2.5924477,E00073438,E01014540,E02003043,E06000023,W12000000,1,5,HH_LFNR1W,,,60,0,58
123456789135,49822759037,HH,Household,U,RD06,,First And Second Floor Flat,Commercial Road,,Tafftown,XX1 0XX,51.4721166,-2.5970579,E00074083,E01014669,E02003031,E06000023,W12000000,2,4,HH_LFNR2W,,,65,0,58
123456789136,56730697138,HH,Household,U,RD06,,Flat 2,39 Cranbrook Road,Bin area,Tafftown,XX1 0XX,51.4451742,-2.5975551,E00074236,E01033361,E02003050,E06000023,W12000000,3,3,HH_LFNR3AW,,,70,0,58
123456789137,36144426891,HH,Household,U,RD04,,14 Blackhorse Road,60 Coronation Road,,Tafftown,XX11 0XX,51.4603426,-2.5122237,E00173063,E01015005,E02003117,E06000025,W12000000,4,2,HH_LF2R1W,,,75,0,58
123456789138,78567838723,HH,Household,U,RD06,,18 Marshfield Park Cleeve Wood Road,Commercial Road,,Tafftown,XX11 0XX,51.4958465,-2.513198,E00075275,E01014897,E02003111,E06000025,W12000000,5,1,HH_LF2R2W,,,80,0,58
123456789139,87444160697,HH,Household,U,RD06,,Flat 56 Francombe House,39 Cranbrook Road,,Tafftown,XX1 0XX,51.4463421,-2.5924477,E00073438,E01014540,E02003043,E06000023,W12000000,1,5,HH_LF2R3AW,,,85,0,58
123456789140,86745960257,HH,Household,U,RD06,,First And Second Floor Flat,60 Coronation Road,,Tafftown,XX1 0XX,51.4721166,-2.5970579,E00074083,E01014669,E02003031,E06000023,W12000000,2,4,HH_LF2R3BW,,,90,0,58
